run,size,mmd
2,500,4008.6553642584913
2,1000,3834.9427072958038
2,1500,2055.7771646386987
2,2000,3581.9668517847745
2,2500,654.9235304173527
2,3000,845.5149550418054
2,3500,609.4805630077348
2,4000,2021.912483185568
2,4500,635.8937462520444
2,5000,575.2778945565921
2,5500,1617.6286720957128
2,6000,1303.814638019782
2,6500,979.840633659177
2,7000,1459.6102848655855
2,7500,981.029452275427
2,8000,766.3706975053911
2,8500,224.88705041073155
2,9000,502.2517918497994
2,9500,676.9125922545538
2,10000,470.9360421006848
2,10500,669.9922455626468
2,11000,323.146733946343
2,11500,614.1717160261782
2,12000,652.0683244108423
2,12500,284.1412993463357
2,13000,382.218735561034
2,13500,623.1976905576155
2,14000,270.81862022101456
2,14500,354.5317291546943
2,15000,497.33721483394726
4,500,3523.5585916929485
4,1000,2137.0234779212883
4,1500,2590.763187457893
4,2000,1225.443157805687
4,2500,1528.233069419297
4,3000,1305.6976073522085
4,3500,1116.3766496883845
4,4000,775.7135410398832
4,4500,893.9969319864945
4,5000,1741.4218225429831
4,5500,1439.825844292337
4,6000,509.0685865965735
4,6500,2323.5682733639596
4,7000,968.0617910281311
4,7500,709.1317264516257
4,8000,982.8974527375382
4,8500,289.3932878409831
4,9000,646.5628791327921
4,9500,761.8756333838993
4,10000,1155.7057258232726
4,10500,759.8357199985065
4,11000,497.3682522005293
4,11500,365.1985555783574
4,12000,167.99137739890253
4,12500,305.3487276976893
4,13000,642.4857675387226
4,13500,415.25085153566914
4,14000,344.1006452000967
4,14500,1015.2524849251322
4,15000,873.393058824899
3,500,2472.2638191252972
3,1000,2374.746896827303
3,1500,1521.0302527823549
3,2000,1424.087960992085
3,2500,2605.374395329063
3,3000,1961.930957658628
3,3500,2794.3054515110407
3,4000,555.0773570698117
3,4500,649.1718117647192
3,5000,682.5762159749899
3,5500,1473.10390518665
3,6000,1067.0458212581552
3,6500,690.3629408612136
3,7000,485.6604449422166
3,7500,601.797273022019
3,8000,430.42764609768
3,8500,1070.1637115165015
3,9000,417.9704012963357
3,9500,1446.5144320965821
3,10000,278.1147329117709
3,10500,574.2238021278008
3,11000,277.0740596002586
3,11500,134.14109641710579
3,12000,523.8841000938464
3,12500,522.2361254911374
3,13000,538.6012933752104
3,13500,285.0560485030824
3,14000,146.47712578227737
3,14500,759.8626445794479
3,15000,658.1912589132652
1,500,4960.935698526252
1,1000,3514.97715525152
1,1500,2267.120028926034
1,2000,867.2353103537743
1,2500,1722.0746885357723
1,3000,941.6658249612819
1,3500,1783.3004257636724
1,4000,1825.209494573841
1,4500,1402.0546927688595
1,5000,849.9071440657056
1,5500,383.8300429605765
1,6000,917.905391593694
1,6500,704.8947455027238
1,7000,1694.7316042488342
1,7500,997.7830506995203
1,8000,304.1158175859079
1,8500,902.6141499623121
1,9000,658.8265463906554
1,9500,205.02705375633772
1,10000,798.502285303206
1,10500,200.7743905615253
1,11000,166.90719743145416
1,11500,405.631282437002
1,12000,240.35865238363306
1,12500,333.5929833328418
1,13000,524.0368093234757
1,13500,360.3351448428034
1,14000,290.21376734540297
1,14500,446.4377069367576
1,15000,286.5382103862497
5,500,4063.785520803783
5,1000,2544.0702100521657
5,1500,731.9296039548067
5,2000,911.9644438539956
5,2500,3508.7051837384724
5,3000,978.6087226912641
5,3500,665.2217959797965
5,4000,1494.7490563646445
5,4500,1558.2246125660472
5,5000,556.7419470558885
5,5500,331.0201352475204
5,6000,528.2133217970255
5,6500,476.21605852246097
5,7000,1614.8859563046942
5,7500,720.2740210318873
5,8000,871.4406259940595
5,8500,772.5565556270712
5,9000,1662.3413549600007
5,9500,514.8825164784687
5,10000,592.518106714507
5,10500,842.4635249466206
5,11000,504.4226550129332
5,11500,606.0204963730879
5,12000,1263.055903996289
5,12500,1146.175061147518
5,13000,250.34205727004334
5,13500,151.158380212569
5,14000,560.2815922821546
5,14500,216.15175775027404
5,15000,626.7120305147765
