run,size,mmd
4,500,8742.622735115412
4,1000,4933.342945373901
4,1500,272.0480243123265
4,2000,460.57727594875547
4,2500,161.25495537350193
4,3000,84.85641243289744
4,3500,199.95666051341675
4,4000,125.36903854566494
4,4500,92.89445518927334
4,5000,163.90348989929504
4,5500,89.50084471553467
4,6000,89.64742764957828
4,6500,86.63383850455791
4,7000,71.22363195749581
4,7500,57.97492949186536
4,8000,898.1473777177848
4,8500,98.47218576086831
4,9000,56.60816950785908
4,9500,64.45640008703687
4,10000,134.55790531457822
4,10500,71.69549179090889
4,11000,83.38598550502113
4,11500,64.17940591724809
4,12000,101.30495571117659
4,12500,417.50707658289434
4,13000,211.20565790033993
4,13500,83.20228803450212
4,14000,64.09983060828293
4,14500,75.91854858305813
4,15000,68.53407405442809
5,500,4091.586849301396
5,1000,1670.9982927638634
5,1500,306.5836627807918
5,2000,242.41083548272525
5,2500,182.49342356679728
5,3000,674.9770677531022
5,3500,90.1484197230479
5,4000,148.16236509671788
5,4500,74.49631202938468
5,5000,205.7990516273593
5,5500,140.28815428635633
5,6000,140.14729955195494
5,6500,167.17280148778386
5,7000,70.09545093238275
5,7500,68.90513388941152
5,8000,65.02829031582834
5,8500,90.87004953066362
5,9000,63.08895992839673
5,9500,48.80081757930075
5,10000,98.65194362568171
5,10500,88.5808027847806
5,11000,61.30655312371232
5,11500,66.83871767882242
5,12000,63.139987087584906
5,12500,86.4881977699384
5,13000,62.73247736213604
5,13500,102.14511437116326
5,14000,78.90002729639895
5,14500,84.36077886750064
5,15000,140.29669244082856
1,500,4155.902750677364
1,1000,2318.067166198
1,1500,230.93605554382756
1,2000,871.7427956908606
1,2500,213.99871273370726
1,3000,304.790794490963
1,3500,297.91503605470956
1,4000,104.89219542129638
1,4500,55.97959393561521
1,5000,135.2757911735844
1,5500,111.98752800546954
1,6000,71.1455937376168
1,6500,71.1202635292735
1,7000,56.06193427197167
1,7500,85.80188174758408
1,8000,80.75027986919102
1,8500,104.06580083869372
1,9000,53.32712859760806
1,9500,127.56134277278579
1,10000,57.83254734871287
1,10500,74.96971142251562
1,11000,58.15245467365966
1,11500,93.14953054821893
1,12000,73.99161189792466
1,12500,118.27072736178793
1,13000,274.2659654822163
1,13500,77.0507940725479
1,14000,130.13490710447047
1,14500,80.67854441021089
1,15000,77.37838605005568
3,500,14508.479756231367
3,1000,3249.3583595820696
3,1500,426.9802725225693
3,2000,246.7051316705109
3,2500,156.19632123400666
3,3000,74.86302377742385
3,3500,211.61822176369455
3,4000,83.65827353843216
3,4500,324.04081488809067
3,5000,153.62677487668762
3,5500,266.61934059765855
3,6000,71.21859720034945
3,6500,245.9753121610412
3,7000,88.62842167274678
3,7500,62.20309361496862
3,8000,85.38453834974896
3,8500,184.69803701984645
3,9000,68.79502768266103
3,9500,176.26027733663076
3,10000,82.34628974151693
3,10500,92.25548472433128
3,11000,74.30815020117933
3,11500,68.25742929889968
3,12000,123.39637364805809
3,12500,145.0623927043514
3,13000,73.30437607491807
3,13500,167.28882841129948
3,14000,102.95628933346563
3,14500,84.41226019726841
3,15000,71.7276721851142
2,500,12269.354573409813
2,1000,4125.373178913477
2,1500,614.6067790504965
2,2000,1097.116515862667
2,2500,211.52449007102354
2,3000,185.13599808949735
2,3500,272.296015576421
2,4000,88.52954814871798
2,4500,187.06057944811585
2,5000,64.35840383928131
2,5500,196.224120512222
2,6000,120.35799028606267
2,6500,54.195469212118155
2,7000,83.07415875891063
2,7500,61.192151379211886
2,8000,55.221978400442474
2,8500,81.06019181901738
2,9000,73.59925782084001
2,9500,144.9977972285301
2,10000,78.43818521177784
2,10500,92.12113813775176
2,11000,85.19927845478591
2,11500,136.3605478366254
2,12000,74.52739000293637
2,12500,83.46769501443057
2,13000,74.72893915213007
2,13500,82.24828327185055
2,14000,149.74133473509093
2,14500,60.94501144458262
2,15000,77.24071195575665
