run,size,mmd
2,500,9773.290153302467
2,1000,3180.4057036457393
2,1500,1938.9431666491382
2,2000,626.3788811429257
2,2500,377.9786246834645
2,3000,1858.8703919478435
2,3500,502.69320212241985
2,4000,403.3367013327342
2,4500,255.35756285087584
2,5000,155.21157063906205
2,5500,635.8767076631503
2,6000,309.0876093442172
2,6500,666.8709440180039
2,7000,1313.9058691130977
2,7500,282.18713509335475
2,8000,348.34530471404787
2,8500,349.7176129533289
2,9000,116.84595631054685
2,9500,369.2142781845392
2,10000,377.22455316623683
2,10500,185.42081272633828
2,11000,131.0797589649616
2,11500,171.46990540397277
2,12000,184.01888493101356
2,12500,492.211172615232
2,13000,567.3932541771424
2,13500,314.1606565148069
2,14000,440.1391747262349
2,14500,177.70933563231225
2,15000,252.75265402563016
1,500,14345.04614824344
1,1000,4884.290783531421
1,1500,297.8772840011853
1,2000,159.74257760234642
1,2500,389.01239359934266
1,3000,510.84282500400275
1,3500,187.51860020074596
1,4000,363.37177475427137
1,4500,154.53145424495673
1,5000,980.3002013945842
1,5500,105.70927867060142
1,6000,292.2057907491674
1,6500,134.37686467992577
1,7000,1302.571293877208
1,7500,255.67052961604546
1,8000,265.23539756957814
1,8500,619.0763717654132
1,9000,626.1474356626006
1,9500,332.53561474918513
1,10000,216.3098575471268
1,10500,101.5896423823858
1,11000,197.34994446794678
1,11500,101.81246690728507
1,12000,242.9879115562538
1,12500,128.46221864197915
1,13000,609.5738012550693
1,13500,367.81307245092313
1,14000,141.1209637348181
1,14500,1397.8228703654988
1,15000,356.4272945588298
4,500,15022.647050983085
4,1000,2757.863646152479
4,1500,1612.7915487003986
4,2000,178.00639569140372
4,2500,495.3562419606345
4,3000,805.6658666741588
4,3500,2193.074839734188
4,4000,262.66643882844664
4,4500,101.96602789721574
4,5000,506.4662794242422
4,5500,395.9225261371629
4,6000,537.3372233507076
4,6500,981.4994618360308
4,7000,108.05914356025616
4,7500,233.06898157449885
4,8000,222.20796974954098
4,8500,110.49971191349786
4,9000,624.5249769400217
4,9500,1150.2379682376904
4,10000,179.6935334358482
4,10500,231.8785984878204
4,11000,217.96953922187146
4,11500,269.12251393564617
4,12000,104.17271927354248
4,12500,330.78379123749767
4,13000,517.1056281027714
4,13500,399.9316785895071
4,14000,371.9611424981636
4,14500,596.8859068093037
4,15000,468.6532089485721
3,500,34948.44560557119
3,1000,3233.4673138571734
3,1500,1049.1482944327297
3,2000,1824.4193741473828
3,2500,395.5979363251505
3,3000,416.4992921631269
3,3500,200.4970685661533
3,4000,783.8657356497932
3,4500,102.32491887179717
3,5000,507.26801793080864
3,5500,2741.349515623965
3,6000,279.30559824469276
3,6500,863.4243862882894
3,7000,808.1748919205494
3,7500,277.0647757575949
3,8000,647.4416550744353
3,8500,259.50485393054566
3,9000,520.0342178736018
3,9500,499.6242966687006
3,10000,378.174146051792
3,10500,104.85373542554548
3,11000,281.2013100077611
3,11500,736.3216640395949
3,12000,262.9333152207385
3,12500,254.89573772182388
3,13000,277.0303551090738
3,13500,357.268640712706
3,14000,242.17803983999966
3,14500,308.42249439363394
3,15000,346.86312453704863
5,500,18740.259167807475
5,1000,1315.7953346044012
5,1500,618.8037077801899
5,2000,809.2584034855781
5,2500,172.22537303968255
5,3000,369.7216171920854
5,3500,309.7097839707495
5,4000,290.21442731789296
5,4500,113.23665637705746
5,5000,2066.3366096078075
5,5500,207.00265764099083
5,6000,416.0567844047538
5,6500,467.04231852611986
5,7000,200.20949296542605
5,7500,341.5726375012543
5,8000,670.0611928314324
5,8500,606.9824780998305
5,9000,817.3796539720688
5,9500,188.61057623301278
5,10000,175.76251037407835
5,10500,148.36139503416794
5,11000,128.42168631830356
5,11500,425.684395218079
5,12000,475.30157016371606
5,12500,871.4540819519952
5,13000,131.58997783829804
5,13500,300.61556678279504
5,14000,206.82677870821988
5,14500,255.90234370681927
5,15000,323.7521143929581
