run,size,ratio,sampling_time_s,total_time_s
1,500,1.9144726432051293,69.20229440000003,69.4173879000009
2,500,2.9638823046595792,67.37134359999982,67.54464430000007
3,500,2.2431613555935543,70.70903629999884,70.88822769999933
4,500,1.519609128320867,69.65511979999974,69.89257379999981
5,500,1.195581181436851,69.34632469999997,69.62241250000079
1,1000,1.4876312977898314,70.90847589999976,71.28070769999977
2,1000,1.1698886044456942,68.83018619999893,69.11409400000048
3,1000,1.0772635662466354,67.90267270000004,68.23526690000108
4,1000,1.1400805260417242,67.5932587999996,67.89092749999872
5,1000,1.120287438913043,67.96828970000024,68.24216539999907
1,1500,1.139180471917182,66.86824180000076,67.1895440999997
2,1500,1.066309167306021,67.52409240000088,67.8255840999991
3,1500,1.1292234210594205,68.02670149999904,68.40395199999875
4,1500,1.3432006539393793,68.11152140000013,68.43734869999935
5,1500,1.0695956667682998,67.32044129999849,67.66630289999921
1,2000,1.0233705456569342,69.42472420000013,69.77484860000004
2,2000,1.047987495451997,68.76789200000167,69.09348360000149
3,2000,1.1206396103211975,69.11096330000146,69.42229210000005
4,2000,1.1558664026314978,69.6899357000002,70.06846500000029
5,2000,1.0388776831505906,70.98626810000133,71.41212230000019
1,2500,1.13662400685929,66.9759537000009,67.39799809999931
2,2500,1.1322558865781107,67.76397540000107,68.23931249999987
3,2500,1.036084468413268,66.42758959999992,66.92065729999922
4,2500,1.0269396116067768,69.74687400000039,70.15549460000148
5,2500,1.0338438605933238,68.72770169999967,69.16629089999878
1,3000,1.0330737501548837,67.67451739999888,68.15149949999977
2,3000,1.0943533002631534,67.3566680999993,67.92388369999935
3,3000,1.038442226100735,68.68993760000012,69.19963999999891
4,3000,1.0302416294658998,75.7812887,76.26058689999991
5,3000,1.0301700680224863,75.23162090000005,75.78967469999952
1,3500,1.046541820353174,73.63107970000056,74.28771070000039
2,3500,1.0445760607434074,74.2606369999994,74.81313220000084
3,3500,1.0354069140542477,78.84629320000022,79.45144059999984
4,3500,1.028581884710204,76.05590609999854,76.64330729999892
5,3500,1.0309725137703898,74.78314809999938,75.4375287999992
1,4000,1.0321411103198732,77.33799400000134,77.98699550000129
2,4000,1.0455952349145616,76.03441769999881,76.64510329999939
3,4000,1.0418257187005686,74.60233179999886,75.24144049999995
4,4000,1.0535012651252522,77.83426400000099,78.53076140000121
5,4000,1.0259010590070705,78.21352699999989,78.8175097000003
1,4500,1.0549811929910904,72.53809779999938,73.29103140000007
2,4500,1.033837082172758,76.50670110000101,77.23047530000076
3,4500,1.042940851622973,75.09085759999834,75.74186429999827
4,4500,1.115386142194315,76.69945230000121,77.35369040000114
5,4500,1.0317494149251156,71.76613579999866,72.42500519999885
1,5000,1.0337446007974043,75.06877929999973,75.78385610000078
2,5000,1.0308102106246266,76.19590799999969,76.93631079999977
3,5000,1.0313434147571379,76.47542620000058,77.4246017000005
4,5000,1.0188615050535972,79.88297100000091,80.80832160000136
5,5000,1.0252915787045567,83.31378290000066,84.17393989999982
1,5500,1.0219279663022431,79.60781449999922,80.55484959999922
2,5500,1.029447427733927,79.0408155999994,79.9895605999991
3,5500,1.0287650305971705,73.90617469999961,74.71945400000004
4,5500,1.046653087404756,78.25376589999905,79.14605370000027
5,5500,1.0387795436574436,74.5222945000005,75.43090870000015
1,6000,1.0302736916008008,76.0474477000007,77.07397789999959
2,6000,1.0245908002779764,72.39002579999942,73.25333130000035
3,6000,1.0356807586607881,75.86336759999904,76.8769057999998
4,6000,1.0245039819666208,76.03743659999964,77.04764530000102
5,6000,1.037747003553628,74.8896261000009,75.83591350000097
1,6500,1.0257927357248133,74.19285510000009,75.07500260000052
2,6500,1.029566055542521,72.55846050000036,73.64485980000063
3,6500,1.037772781957324,74.29762239999945,75.29706219999935
4,6500,1.0240342566143215,70.69110220000039,71.67849139999998
5,6500,1.0275441575865971,70.45767789999991,71.48698610000065
1,7000,1.0266542597636912,71.68878839999888,72.64489030000004
2,7000,1.0516674553251326,75.47822620000079,76.41348429999925
3,7000,1.0292876979794983,70.6248930999991,71.71891299999879
4,7000,1.032435643689862,69.77697980000084,70.93660610000006
5,7000,1.0269969617917094,69.01443680000011,70.09910370000034
1,7500,1.0281425120030883,69.99983679999968,71.17917149999994
2,7500,1.0219316252959818,71.4460755,72.44580610000048
3,7500,1.027625196585974,70.07472330000019,71.22818540000117
4,7500,1.0347216131643229,69.2100104000001,70.28473389999999
5,7500,1.0257905770519387,69.75814829999945,71.02890859999934
1,8000,1.031498199182654,71.58613549999973,72.75184190000073
2,8000,1.025378602300584,69.35379619999912,70.47117380000054
3,8000,1.024411798758427,71.28520700000081,72.58057920000101
4,8000,1.0280496309424423,70.62262550000014,71.92718120000063
5,8000,1.0349884437805161,71.20299599999998,72.46198180000101
1,8500,1.028604980522729,70.32700349999868,71.77198250000038
2,8500,1.0362865447475844,71.01619910000045,72.40179480000006
3,8500,1.0290454861995644,72.85882739999943,74.36507320000055
4,8500,1.026089511904766,73.88687840000057,75.13853259999996
5,8500,1.0341623477131274,73.36645979999957,74.6587438000006
1,9000,1.0255628076790433,74.0988268000001,75.41625879999992
2,9000,1.0341092261309068,74.9311345999995,76.23983700000099
3,9000,1.0299310055916187,80.57911070000046,81.80355520000012
4,9000,1.0352823757400447,79.1950573999984,80.5381680999999
5,9000,1.032175263416055,79.21217799999977,80.69840180000028
1,9500,1.0239225932100617,82.65876729999945,84.11686779999945
2,9500,1.0301089450403498,81.92285529999936,83.41337150000072
3,9500,1.0305233578752864,71.79217229999995,73.2084188000008
4,9500,1.033453836899264,68.98069939999914,70.3152169999994
5,9500,1.0571978666647217,71.38785400000052,72.85150650000105
1,10000,1.0289925574953562,72.71714190000057,74.15766580000127
2,10000,1.0296010677385128,72.8365986000008,74.37702810000155
3,10000,1.0284673481160918,72.37879219999922,73.7217099999998
4,10000,1.0306478152126322,72.97099499999968,74.51350420000017
5,10000,1.0305554120220826,71.23811130000104,72.71365820000028
1,10500,1.0302568065559856,69.66631629999938,71.39134199999899
2,10500,1.0336364726001366,68.85449219999828,70.25569109999924
3,10500,1.0347243485932887,70.0162521000002,71.83638240000073
4,10500,1.0320041108869638,70.49012000000039,72.06563710000046
5,10500,1.033992439296824,69.53356410000015,71.06678780000038
1,11000,1.0351284108691046,71.09315439999955,72.76935310000044
2,11000,1.0331122703656541,72.39215719999993,74.04145160000007
3,11000,1.0320426379096166,73.56135890000041,74.93750179999915
4,11000,1.0326101053323975,71.9903708999991,73.62642539999979
5,11000,1.0368448363704732,69.70596900000055,71.41479530000106
1,11500,1.0319009144125921,70.18721809999988,71.86788049999996
2,11500,1.0399506170558552,74.20704599999954,76.05294779999895
3,11500,1.032158580586147,76.402575600001,77.94319610000093
4,11500,1.0374942535275309,78.9893088000008,80.49391950000063
5,11500,1.0328299551580526,79.82823589999862,81.69019990000015
1,12000,1.0377528157749665,76.77453109999988,78.56326679999984
2,12000,1.0377898670878398,74.24257670000043,76.17093729999942
3,12000,1.0355752475007212,74.05516650000027,75.85615490000055
4,12000,1.0372099881798937,74.47402580000016,76.0194978999989
5,12000,1.0381927574370102,76.97183239999868,78.72225919999983
1,12500,1.0403454528204192,73.48870969999916,75.42760759999874
2,12500,1.0390592263459613,74.93797670000095,76.87802019999981
3,12500,1.0402121985530908,73.00421129999995,74.93264610000006
4,12500,1.0360686940331982,73.91908440000043,75.86014290000094
5,12500,1.0400267819497353,72.33917459999975,74.13090879999982
1,13000,1.0381599036797966,75.0646502999989,76.73307829999976
2,13000,1.039475616669481,71.73797270000068,73.67876539999997
3,13000,1.0338505244540606,74.32594719999906,76.13054179999926
4,13000,1.0364144664409012,70.57849309999983,72.62056969999867
5,13000,1.0392517582659375,71.04859840000063,73.01371590000053
1,13500,1.0416477954263066,75.90745229999993,77.74999150000076
2,13500,1.0436410847723063,75.96348189999844,77.72983609999937
3,13500,1.0446440182235646,72.42520740000145,74.34091420000004
4,13500,1.0382157694950909,70.9338360999991,72.62997099999848
5,13500,1.0381285133789513,71.84488030000102,74.067019600001
1,14000,1.0433067748951024,71.60695540000052,73.69589000000087
2,14000,1.0405674000440537,69.7747359999994,71.83536599999934
3,14000,1.0509441657593799,70.35805959999925,72.44788589999916
4,14000,1.046124526648665,70.08791810000002,71.93880189999982
5,14000,1.0492584128168199,71.49734119999994,73.53134789999967
1,14500,1.0408914746242188,71.22737719999895,73.41241889999947
2,14500,1.0783694794859866,74.90397200000007,77.00249909999911
3,14500,1.0382307815137377,75.98631310000019,78.31756489999862
4,14500,1.0413416283460386,81.48969720000059,83.96237579999979
5,14500,1.0378992882788547,77.56540899999891,79.6761692
1,15000,1.0350565025410448,75.9152938999996,78.93049109999993
2,15000,1.0437899230772223,75.6474347000003,78.68803690000095
