run,size,ratio,sampling_time_s,total_time_s
1,1000,409045.65796391724,0.004615899999407702,0.06184489999941434
2,1000,156188.69867403977,0.0034885000004578615,0.055605899999136454
3,1000,183499.87771506698,0.0033690000000206055,0.06554500000129337
4,1000,25670339.34152943,0.004842599999392405,0.1640847999988182
5,1000,5175.695636064841,0.004723699999885866,0.061918200000945944
6,1000,52979.82067253624,0.005850800000189338,0.07648760000120092
7,1000,6138562.935646141,0.0058951999999408145,0.1690202000008867
8,1000,6823.588667814262,0.004181500000413507,0.05387870000049588
9,1000,4239.027511339395,0.005732399999033078,0.047379399999044836
10,1000,56092.12209810092,0.005176799999389914,0.1013769000001048
11,1000,162940.83755658165,0.0066874000003736,0.1193810000004305
12,1000,41537503.296673335,0.005587399999058107,0.21015559999977995
13,1000,4071.659268177243,0.005805899998449604,0.10729869999886432
14,1000,64835.29905448441,0.004313100000217673,0.09285079999972368
15,1000,37971.94763382485,0.0044137000004411675,0.08713050000005751
16,1000,30796.80156790996,0.012215699998705531,0.07714789999954519
17,1000,17726526.92786092,0.005368400001316331,0.16608040000028268
18,1000,1698.8642511895898,0.004398299999593291,0.362918400000126
19,1000,26874242.51059878,0.0039818999994167825,0.1117443999992247
20,1000,1854778.6585627873,0.005054700000982848,0.09628929999962565
21,1000,15387288.964345712,0.0058189000010315794,0.14777090000097814
1,2000,16561.718342745316,0.005482000000483822,0.5585367000003316
2,2000,88507014.90246749,0.0063098999999056105,0.2881584999995539
3,2000,633756691054.2733,0.005940299999565468,0.6118489000000409
4,2000,9721056.57748486,0.007163199999922654,0.2153545999990456
5,2000,1738570.36103058,0.0077521999992313795,0.14329299999917566
6,2000,1432728.8315245942,0.005654599999616039,0.14717259999997623
7,2000,18680666963.549644,0.00843400000121619,0.5751729000003252
8,2000,25527.440963272904,0.005657099998643389,0.5540410999983578
9,2000,861707.7420492487,0.0067530000014812686,0.21350499999971362
10,2000,130023.56333723306,0.005170899999939138,0.14182780000010098
11,2000,17723061.57850189,0.005978999999570078,0.3662690000001021
12,2000,5176571362.457012,0.0056476999998267274,0.2209026000000449
13,2000,7127.24608907828,0.006119300000136718,0.380164700000023
14,2000,81699.01800272561,0.005551199999899836,0.724478199999794
15,2000,12606540.022455849,0.006065400000807131,0.18076939999991737
16,2000,726.5256465849504,0.005687799999577692,0.2542647999998735
17,2000,137255980.9872275,0.005467299999509123,0.49081919999844104
18,2000,77940832.98453721,0.005399800000304822,0.7524511999999959
19,2000,2861775622.727841,0.005998399999953108,0.47713110000040615
20,2000,515848.45270627463,0.005105900001581176,0.1795867000000726
21,2000,8065.187988272116,0.0062124999985826435,0.25822949999928824
1,3000,44750.451157645926,0.006059400000594906,0.5461808000000019
