run,size,ratio,sampling_time_s,total_time_s
1,500,2.698710983176921,0.023982499998965068,0.18667089999871678
2,500,2.5638484470807144,0.02104940000208444,0.16846580000128597
3,500,1.7650785767969857,0.021633700001984835,0.18187070000203676
4,500,2.004358552376696,0.022470899999461835,0.19522649999998976
5,500,1.6275500014279014,0.024604700000054436,0.22964199999842094
6,500,2.0524334294040827,0.02243060000182595,0.21620420000181184
7,500,2.9526807310974643,0.02535110000098939,0.22992580000209273
8,500,1.4536152216753044,0.023568900000100257,0.21659319999889703
9,500,1.5292193836078973,0.03224699999918812,0.3517930999987584
10,500,1.4861365196578245,0.028906299998197937,0.29780200000095647
11,500,1.9990030844547129,0.02484809999805293,0.30560179999883985
1,1000,1.211700691328745,0.025239599999622442,0.40064650000203983
2,1000,1.0453818047640135,0.028464399998483714,0.33424419999937527
3,1000,1.6478866865649802,0.04131280000001425,0.3412505999986024
4,1000,1.206697721532004,0.026677800000470597,0.36907650000284775
5,1000,1.207130126093704,0.025303400001575937,0.3512055999999575
6,1000,1.194873568732357,0.02449970000088797,0.27740260000064154
7,1000,1.14906540141677,0.03101980000064941,0.3316220000015164
8,1000,1.2527116534796772,0.024870799999916926,0.33402059999934863
9,1000,1.3698358753774365,0.023069099999702303,0.2909472999999707
10,1000,1.3188117518841396,0.028522399999928894,0.5046686000023328
11,1000,1.1990004180166387,0.037065100001200335,0.3647891000000527
1,1500,1.0496282542120736,0.040696700001717545,0.4409395000002405
2,1500,1.1841061190853241,0.033436499998060754,0.3464590999974462
3,1500,1.3161564221569069,0.021331100000679726,0.40907789999982924
4,1500,1.195424777006199,0.026226300000416813,0.3608593999997538
5,1500,1.149742599548282,0.030723600000783335,0.3542530999984592
6,1500,1.0509651404866613,0.022948000001633773,0.4351667000009911
7,1500,1.0563373603394752,0.04091160000098171,0.3847965999993903
8,1500,1.1539149266432929,0.027033599999413127,0.3867242000014812
9,1500,1.0445457197899608,0.027929699997912394,0.43853849999868544
10,1500,1.2965068667111712,0.028774100002920022,0.47066500000073574
11,1500,1.1778216048560173,0.030723699997906806,0.4513805999995384
1,2000,1.194485292598567,0.026075799996760907,0.5098758999993152
2,2000,1.0281869874555971,0.0264857000001939,0.4480050000020128
3,2000,1.0197894565099124,0.02853070000128355,0.5595600000015111
4,2000,1.1746059287961463,0.028868800000054762,0.5677078000007896
5,2000,1.0374123422773502,0.026574999999866122,0.5950983000002452
6,2000,1.023810663043335,0.03055789999780245,0.5427433000004385
7,2000,1.034073116546878,0.030031199999939417,0.5076359999984561
8,2000,1.2019517724820652,0.030014600000868086,0.5276145000025281
9,2000,1.0341779987311182,0.03211370000281022,0.4660741000006965
10,2000,1.1898870267453765,0.027135799999086885,0.4294878000000608
11,2000,1.0263978273336603,0.025836100001470186,0.5086852999993425
1,2500,1.0612759260102855,0.027944000001298264,0.4601445000007516
2,2500,1.0237976460209905,0.028323400001681875,0.6602655000024242
3,2500,1.0245852635914918,0.03194739999889862,0.6196648000004643
4,2500,6.056001652937636,0.031887400000414345,0.6112934000011592
5,2500,1.0207022253066285,0.026525900000706315,0.47883379999984754
6,2500,1.020721299083315,0.029359600001043873,0.5027326999988873
7,2500,1.020366490339205,0.029943400000775,0.5223994000007224
8,2500,1.0481526463337547,0.0300548000013805,0.5081008000015572
9,2500,1.1524504901151176,0.03734749999784981,0.5222388999973191
10,2500,1.0268920319654622,0.025649999999586726,0.4810648000020592
11,2500,1.1259501256296693,0.03072019999672193,0.3982698999971035
1,3000,1.020990165326201,0.031896899999992456,0.5480002000003878
2,3000,1.189533381392414,0.02468820000285632,0.5585448000019824
3,3000,1.0157902773727951,0.03329750000193599,0.6331395000015618
4,3000,1.1651498248237218,0.038112700000056066,0.6638547000002291
5,3000,1.0162413266995114,0.03166179999971064,0.5902252000014414
6,3000,1.0208627537200046,0.03233879999970668,0.5323075000014796
7,3000,1.0280770085208117,0.030031599999347236,0.6262486000014178
8,3000,1.1325630470438788,0.03305990000080783,0.5708340999990469
9,3000,1.01793437617586,0.03630980000161799,0.5866451000001689
10,3000,1.0164349260261505,0.0260576000000583,0.6162287000006472
11,3000,1.1367366673837356,0.02612539999972796,0.546375199999602
1,3500,1.0145655582348792,0.03495670000120299,0.6259795000005397
2,3500,1.0172930441685866,0.03127330000279471,0.6993553000029351
3,3500,1.0183139085162614,0.030575400000088848,0.6833834999997634
4,3500,1.0157642036026482,0.03227040000274428,0.6111512999996194
5,3500,1.0138999129283428,0.02988049999839859,0.6520082999995793
6,3500,1.0990446510593912,0.033481999998912215,0.6411105000006501
7,3500,1.014658773456522,0.03358319999824744,0.6246917999997095
8,3500,1.008774973549765,0.034415699999954086,0.6763782999987598
9,3500,1.0171154658960992,0.039750700001604855,0.6416844000013953
10,3500,1.0123852691886261,0.034952699999848846,0.7419421999984479
11,3500,1.014046082301996,0.02817460000005667,0.5831071000029624
1,4000,1.006965950659566,0.031043000002682675,0.7675298000031034
2,4000,1.0133994606374568,0.0354062000005797,0.7811556000015116
3,4000,1.0199614358592297,0.03697430000102031,0.7352438000016264
4,4000,1.0095066350946007,0.03146280000146362,0.75842030000058
5,4000,1.0127939127019925,0.03303990000131307,0.7005810999980895
6,4000,1.0219594286720564,0.03897769999821321,0.7649082999996608
7,4000,1.1248293757493228,0.0373159000009764,0.7135597999986203
8,4000,1.011543162562816,0.033583799999178154,0.5731376000003365
9,4000,1.0177054469825269,0.03369699999893783,0.6803622000006726
10,4000,1.0126626151106723,0.03263169999991078,0.6892942000013136
11,4000,1.0084364072872563,0.032347299998946255,0.709628699998575
1,4500,1.008557354716261,0.032334900002751965,0.846209600000293
2,4500,1.0134580466408933,0.029307699998753378,0.7963324000011198
3,4500,1.011272869905703,0.035898800000722986,0.8709134999990056
4,4500,1.010106344375341,0.03671609999946668,0.8037954999999783
5,4500,1.013595273171034,0.03814570000031381,0.7932959999998275
6,4500,1.0160405103847912,0.03925320000053034,0.7888450999998895
7,4500,1.0076990155009349,0.032959199998003896,0.8601154999996652
8,4500,1.0142587484608365,0.03573519999918062,0.7866078999977617
9,4500,1.0141470630529286,0.030313100000057602,0.825062899999466
10,4500,1.0137162110147833,0.0330242999989423,0.8110080999977072
11,4500,1.0126808996791163,0.03682710000066436,0.9357501999984379
1,5000,1.0153963664916947,0.04004989999884856,0.8851670000003651
2,5000,1.0172060333326771,0.039327599999523954,0.920640899999853
3,5000,1.0094603090542003,0.034676999999646796,0.991893300000811
4,5000,1.0118610781329531,0.03661120000106166,0.8664067999998224
5,5000,1.0122884593196904,0.03596560000005411,0.9371671000008064
6,5000,1.010291728441898,0.03740329999709502,0.8598666999969282
7,5000,1.0094926588003146,0.04028720000133035,0.9790073000003758
8,5000,1.011825792329778,0.049479100001917686,0.9497603999989224
9,5000,1.008279743268472,0.033869499999127584,0.9459487999993144
10,5000,1.010825260858964,0.03149449999909848,0.8946498000004794
11,5000,1.006791518468347,0.03552270000000135,0.9115916999980982
1,5500,1.0089568154696351,0.04540819999965606,0.9631147000000055
