run,size,ratio,sampling_time_s,total_time_s
1,500,2.4349990053124055,9.725755299999946,9.873925400001099
2,500,4.23687095103461,10.131454000000303,10.278313900000285
3,500,2.203052420357922,10.508654999999635,10.65166919999865
4,500,1.7411070839099463,8.893642999999429,9.03275289999874
5,500,1.6255275001457437,9.784578100001454,9.891669300001013
6,500,2.558790170656015,9.905751300000702,10.076598999999987
7,500,1.7615219863222311,8.61933560000034,8.781888899999103
8,500,24.780430847800794,9.179347600000256,9.374376499999926
9,500,2.032396858479574,9.117148200000884,9.259740999999849
10,500,3.9180890009888096,8.68765600000006,8.861664299998665
11,500,2.4571824818517594,9.284166499999628,9.481595600000219
1,1000,2.3418540715558067,9.838598600001205,10.007096999999703
2,1000,1.9798472528795166,8.682468900000458,8.837524900000062
3,1000,1.1780128552589781,9.172367700000905,9.322406400000546
4,1000,1.4344741913050794,9.159610799999427,9.340265299999373
5,1000,1.6364189200787675,10.67555320000065,10.92259450000165
6,1000,1.9225190249919997,10.414346200001091,10.589771400000245
7,1000,1.3424818945239907,10.116402000001472,10.290512200001103
8,1000,2.0521518539754613,8.759049599999344,8.951824899999338
9,1000,1.561974439371679,10.637112200000047,10.829565200001525
10,1000,1.8075535173254553,10.354091100000005,10.582647699999143
11,1000,1.1661505843969069,9.748393699999724,9.931331800000407
1,1500,1.9045526692150065,8.812250700000732,9.019834000000628
2,1500,1.4829450974032228,9.300838600000134,9.491941700000098
3,1500,1.8497532646434782,9.08856989999913,9.259343199999421
4,1500,1.2355133494526762,12.417277499998818,12.589257399999042
5,1500,1.1230521407308864,10.172022699998706,10.349386799998683
6,1500,1.602743735947956,12.580095599998458,12.751743899998473
7,1500,1.3720290993600943,9.977144200000112,10.177057799999602
8,1500,1.1380183174322287,9.65704259999984,9.831396999999924
9,1500,3.8473302828116074,8.911707299999762,9.114836200000354
10,1500,1.2492861077817055,9.845330300000569,10.054974399999992
11,1500,2.077104058656697,11.677975700000388,11.888505000000805
1,2000,1.0706636595310426,11.793991900000037,12.024291399999129
2,2000,1.1111338014299743,8.815235800000664,9.128603099999964
3,2000,1.2932713425047826,9.84106840000095,10.091346600000179
4,2000,1.0974307806796382,8.97770059999857,9.212429899998824
5,2000,1.998392084988086,8.98126240000056,9.224748900000122
6,2000,1.0803629699771513,8.691604800000277,8.940490699998918
7,2000,1.0633932502330412,11.25322159999996,11.495127500000308
8,2000,1.120273204484072,9.86342119999972,10.133582300000853
9,2000,1.3631992037531335,11.252786099999867,11.494227400000455
10,2000,1.2818776115365946,9.512358699999822,9.730171500001234
11,2000,1.0972901313777235,11.239919999999984,11.50804000000062
1,2500,1.049634568595384,11.262202200001411,11.595927700000175
2,2500,1.5204953615265788,8.632903199999419,8.891418699999122
3,2500,2.633474794138538,8.809702900000048,9.189078900000823
4,2500,1.289639885177556,9.306345000000874,9.66476540000076
5,2500,1.3986489446673203,11.511448100000052,11.786905200000547
6,2500,1.322816786281855,11.229124199999205,11.530708799999047
7,2500,1.4630629258024634,8.826116800000818,9.199042100000952
8,2500,1.2925843782572957,9.246265100000528,9.550451600000088
9,2500,1.0838659543609948,9.107791300000827,9.400004200000694
10,2500,1.4797635205805133,8.998798200000238,9.336632200000167
11,2500,1.4063684608197453,8.969675800000914,9.25642340000013
1,3000,1.1928514244701478,12.424104899999293,12.733283600000505
2,3000,1.1500608513770947,11.979012800000419,12.322781400000167
