run,size,ratio,sampling_time_s,total_time_s
1,1000,1.106320924317105,47.516731599997,47.91795289999936
2,1000,1.1836542122154086,50.05673899999965,50.445262999997794
3,1000,1.1955072358820495,49.665637199999765,50.14134060000288
4,1000,1.1779018275633335,50.46877099999983,50.87593149999884
5,1000,1.290929218687394,47.46271920000072,47.971024900001794
6,1000,1.2788745542699862,48.03809470000124,48.38374069999918
7,1000,1.2466075245944366,49.27502710000044,49.62093150000146
8,1000,3.579229711160554,49.62024089999977,50.02310170000055
9,1000,1.9282891325822564,47.30237649999981,47.7438067999974
10,1000,1.1257765126720152,46.75344370000312,47.09144560000277
11,1000,1.5754674512342728,47.6817959,48.07775500000207
12,1000,1.1659551553811354,48.62780770000245,48.92115040000135
13,1000,1.1074194981213028,46.2964764999997,46.65744710000217
14,1000,1.3842159857250005,46.78733869999997,47.21624999999767
15,1000,1.8759020655144496,49.12732049999977,49.65417329999764
16,1000,1.522994806642061,49.37097459999859,49.79626999999891
17,1000,1.2059843041861569,48.47851019999871,48.83801149999999
18,1000,1.1208164127894251,50.51162060000206,50.90674140000192
19,1000,1.13878805344267,51.4972164000028,51.822601400002895
20,1000,2.4824218710354256,50.687663599997904,51.16672180000023
21,1000,1.3051081798739887,48.06503460000022,48.56453219999821
1,2000,1.0819169710482222,48.85004720000143,49.2083773000013
2,2000,1.057646126009564,48.26882250000199,48.78941549999945
3,2000,1.0891131857508984,48.9010414000004,49.57872789999965
4,2000,1.0493206954277334,47.51491209999949,48.06045710000035
5,2000,1.048093875357311,49.22612730000037,49.65472849999787
6,2000,1.1131149666914593,47.62300159999722,48.15093119999801
7,2000,1.0898865250889902,50.28482599999916,51.02291229999901
8,2000,1.1250816328311442,48.549303200001305,49.1145820999991
9,2000,1.160064055420018,49.10347479999837,49.754741799999465
10,2000,1.0301603527843548,47.85841440000149,48.42387640000016
11,2000,1.1592646292910962,49.39996059999976,49.76180059999752
12,2000,1.1229843088790223,47.78621969999949,48.330518399998255
13,2000,1.2827801504572314,47.46541979999893,47.96820149999985
14,2000,1.5612443559372615,48.89628620000076,49.41322740000032
15,2000,1.0518088534551562,49.00688979999904,49.53738410000005
16,2000,1.4143203746772026,47.12596649999978,47.69234900000083
17,2000,1.121544221032631,46.659057900000334,47.22748999999749
18,2000,1.0600215688947945,47.82015169999795,48.14559149999696
19,2000,1.097291999084132,48.90451720000056,49.44063260000257
20,2000,1.0437645754078442,47.24618040000132,47.68024409999998
21,2000,1.0750397290064044,49.2533254000009,49.80850370000189
1,3000,1.08347925412355,49.6423799999975,50.27705159999823
2,3000,1.0789445619108289,49.948618800000986,50.51008970000112
3,3000,1.0941437943704055,49.8349261000003,50.48627950000082
4,3000,1.0367425998408,50.39366759999757,50.96146349999981
5,3000,1.098485131430442,48.74579340000128,49.53484220000246
6,3000,1.0996839333986652,51.290178000002925,52.25917079999999
7,3000,1.055126080721974,49.947830500001146,50.472485099999176
8,3000,1.1185385130822945,48.26631439999983,48.841241199999786
9,3000,1.0603783796917523,49.83485600000131,50.533684099998936
10,3000,1.0998389506478423,51.161950600002456,51.726865800003
11,3000,1.136810416159136,49.78125609999916,50.29388090000066
12,3000,1.070349508299023,50.14258069999778,50.66986349999934
13,3000,1.2445309514068803,50.44548439999926,51.28773730000103
14,3000,1.100625376195049,50.172115499997744,50.821075500000006
15,3000,1.0506609574954653,49.88629030000084,50.47137870000006
16,3000,1.0544423826888856,49.391582899999776,49.99223730000085
17,3000,1.0641082003610056,49.92374919999929,50.63841089999914
18,3000,1.060028582445883,52.01071039999806,52.59942119999687
19,3000,1.0992009739704318,47.786087399999815,48.45093149999957
20,3000,1.0658648039777736,49.55653760000132,50.14498070000264
21,3000,1.183213324443812,50.903977800000575,51.42767050000111
1,4000,1.0666888963864978,51.73213659999965,52.39094800000021
2,4000,1.0852473613083755,49.82976019999842,50.72973769999953
3,4000,1.0781286935163032,50.45261720000053,51.16759389999788
4,4000,1.0898675827322066,51.24221659999967,51.98290400000042
5,4000,1.053297913807153,49.65942390000055,50.461766700002045
6,4000,1.0693521703950255,48.99186320000081,49.96729679999771
7,4000,1.0327057401310318,49.1320775000022,50.00175540000055
8,4000,1.1983539631496063,52.58722760000092,53.44920719999936
9,4000,1.0398771048696387,50.90896570000041,51.679425999998784
10,4000,1.1587165493314713,50.71717439999702,51.70962059999874
11,4000,1.0492331060402422,50.09158110000135,50.95391279999967
12,4000,1.0706832187336717,52.0549874999997,52.982141199998296
13,4000,1.0590253308872528,52.36955579999994,53.24284669999906
