run,size,ratio,sampling_time_s,total_time_s
1,1000,233.3435886056324,11.243252400003255,11.735771899999236
2,1000,20.412407936452087,8.407028900001023,8.922974399996747
3,1000,1.8005156322355915,10.094232799994645,10.436159499993664
4,1000,31.360886912109198,9.34282489999896,9.747437400001218
5,1000,3.965406470093845,9.691341400000963,10.131359900005918
6,1000,2.3853485484673085,7.688335300001199,7.935851000002003
7,1000,8.684192527925218,7.668337200004316,8.050727100002405
8,1000,8.008396357663804,9.629818599998544,10.040431000001265
9,1000,4.290610565633065,8.140836899998249,8.52381229999446
10,1000,12.702445921311082,7.691448099998524,8.342924999997194
11,1000,18.793843775420328,7.936379099999613,8.527610100005404
12,1000,4.5842396372215335,8.05526899999677,8.529852199993911
13,1000,3.742839328901285,9.110346900000875,9.582052099998691
14,1000,1.6795953034231144,11.089309299997694,11.423384699999588
15,1000,4.702904087227134,8.649956100001873,9.055988100000832
16,1000,12.09958107594127,11.084721799998078,11.446762699997636
17,1000,5.227864713899524,8.918413699997473,9.341713900001196
18,1000,15.301246645246662,8.917607000003045,9.360378700002912
19,1000,72.8007444128158,7.8358077999946545,8.51081559999875
20,1000,11.973338761043824,10.583037600001262,10.84644169999956
21,1000,7.628565726448565,10.518205100001069,11.376093200000469
1,2000,3.088235687268359,7.639738199999556,8.143652300001122
2,2000,3.629277321590549,8.165671200003999,8.65633600000001
3,2000,1.6477370968665603,10.273188699997265,10.63166430000274
4,2000,1.3906204569277132,7.639424699998926,8.056018800001766
5,2000,1.559692951670636,8.8848044999977,9.503996100000222
6,2000,2.4345515963563265,8.667213000000629,9.083301499995288
7,2000,2.24950694419498,7.556573799993203,7.960204599999997
8,2000,1.5821324206607394,8.863471600001503,9.362662100000309
9,2000,2.4293715919833803,8.223164600000018,8.690474600000016
10,2000,1.5612864863921392,8.091440399999556,8.603791000001365
11,2000,1.7571473347114854,7.888819300002069,8.38384500000393
12,2000,2.142362916078362,9.412685399998736,9.966523600000071
13,2000,2.4013508682463045,8.357228999993822,8.815517399998498
14,2000,2.098394063004948,8.437192600002163,9.040888399998948
15,2000,3.3236024725882074,8.33501139999862,8.851503899997624
16,2000,2.7666203352201624,9.401530000002822,10.348491900003864
17,2000,1.788341278445931,8.30856009999843,8.920278899997356
18,2000,1.7921760779507985,7.490963400006876,8.213872700005595
19,2000,1.9775840655367696,9.850592299997516,10.266629999998258
20,2000,4.398027740269586,10.397648400001344,10.795649899999262
21,2000,1.4794351259503211,9.093512999999804,9.704156300002069
1,3000,2.284299517908152,10.731227299998864,11.433761300002516
2,3000,1.296096539327948,11.65310860000318,12.291563200000382
3,3000,2.0175681008199877,9.466400800003612,10.175298100002692
4,3000,1.2207613692116968,8.643569099993329,9.317903600000136
5,3000,1.8990585463457044,8.016470400005346,8.58671570000297
6,3000,1.7041638218070485,8.038238200002525,8.714232400001492
7,3000,1.6868394625918428,7.605743899999652,8.198913399995945
8,3000,1.5050156117960063,8.202284500002861,8.7282417000024
9,3000,1.3770610075853222,8.465241900004912,8.949558799999068
10,3000,1.507214776014346,8.802289100000053,9.328609099997266
11,3000,3.045668980919998,8.553898600002867,9.135698899997806
12,3000,1.2761698267326949,8.168053800000052,8.66568649999681
13,3000,1.7221458328482446,8.121296400000574,8.55375500000082
14,3000,1.4690847787280887,8.72363310000219,9.284637200005818
15,3000,1.3729239650687015,7.780993899999885,8.32774359999894
16,3000,1.8730369944956309,8.571998699997494,9.35152389999712
17,3000,4.038033076420458,8.432479800001602,9.20345780000207
18,3000,1.3417068901627036,9.829454599996096,10.383042800000112
19,3000,1.717100569626153,8.831031499998062,9.46499799999583
20,3000,1.2437516723627886,7.977808099996764,8.469585499995446
21,3000,1.5803902988836025,8.180004499998176,8.639796100003878
1,4000,1.6080813161983087,9.270731399999931,9.94058280000172
2,4000,1.4258382035419002,8.331631900000502,8.99971309999819
3,4000,1.7399774521126394,7.477316199998313,8.286347900000692
4,4000,1.092012938993301,9.918048700004874,10.475626100000229
5,4000,2.1340340795824644,7.690115499994135,8.53683109999838
6,4000,1.184524440607135,8.06195370000205,8.968482100004621
7,4000,1.8941716072664792,7.777126699998917,8.45075789999828
8,4000,1.6248861057920607,8.314361400000053,8.967309500003466
9,4000,1.114162691315687,9.60270390000369,10.332987100002356
10,4000,1.4227591385685907,7.751089800003683,8.262130700000853
11,4000,1.128442000664151,8.624208699999144,9.35895850000088
12,4000,2.278991902545466,10.438962699998228,11.105024800002866
13,4000,1.513217350283281,7.83834499999648,8.444738199999847
14,4000,2.073843253657869,8.02735670000402,8.68977960000484
15,4000,2.0080059633182925,8.84579720000329,9.504899899999144
16,4000,1.4821831693355791,8.92823139999382,9.769365000000109
17,4000,1.483734297438341,10.079858099998091,10.948203699997975
18,4000,1.4519472090741907,7.770429900003364,8.33804070000042
19,4000,1.1968835633705066,10.400084799999604,10.845424300001469
20,4000,1.3339916300667534,8.217586999999185,8.782678100003977
21,4000,1.885511611520807,8.323012100001506,8.931283899997652
1,5000,1.4576990666570313,7.621599400001287,8.448881600001187
2,5000,1.3265272998022657,12.009991799997806,12.9422831999982
3,5000,1.068968626763282,8.641073699996923,9.428691999994044
4,5000,1.8303457424652572,10.257075300003637,10.99682120000216
5,5000,1.5718502649557229,7.8639057999971556,8.589371399997617
6,5000,1.2501902364527355,8.764187299995683,9.460146400000667
7,5000,1.3893070172286437,8.321080100002291,9.208049399996526
8,5000,1.4542561082419745,8.026354400004493,8.747139200000674
9,5000,1.4058896802502168,9.680000400003337,10.650881499997922
10,5000,1.5973390770044693,8.612283000002208,9.769048800000746
11,5000,1.5486804657378213,9.281154900003456,10.329329599997436
12,5000,1.24171845784442,7.7912484999978915,8.467478899998241
13,5000,1.5825827796147334,7.880454900005134,8.767349300003843
14,5000,1.31567028930053,8.310422700000345,9.008533200001692
15,5000,2.257520917295753,8.031008600002679,9.351444400002949
16,5000,1.4597225532496,8.104298999998719,9.380281500001727
17,5000,1.2932301237707426,9.362609200004954,10.061836000000769
18,5000,1.0657015592916304,9.24361950000457,10.107058900000991
19,5000,1.89976798858085,10.304203099993174,11.393005599995377
20,5000,1.39342861444052,8.872074300001259,9.771151699998882
21,5000,1.4370101243870546,9.745676799997456,10.581033000002208
1,6000,1.2854604779416767,11.190116400000989,12.52329230000032
2,6000,1.5704625655293656,10.041723499998623,11.22032809999655
3,6000,1.856989104569591,8.342066500001238,9.923691600000891
4,6000,1.0551475553328744,9.079672500003651,9.825410700002976
5,6000,1.5343632320658809,10.02934870000172,10.878028099999938
6,6000,1.5127718318076868,8.678490500002226,10.135446400003277
7,6000,1.4869922525874395,8.820381600002293,10.085290100003476
8,6000,1.0435084114179114,8.643413100006,9.40319830000226
9,6000,1.2446984105297618,7.8454211999996915,9.062780399995972
10,6000,1.188428756156756,9.362292699996033,10.302150099996652
11,6000,1.7509859949215465,10.027680099999998,10.92409139999654
12,6000,2.168078722860144,8.304983100002573,9.45146279999608
13,6000,2.05412127625364,9.074369699999806,10.158107199997175
14,6000,2.5427531229200784,10.244060299999546,11.362830099998972
15,6000,1.0481991938898538,9.93588810000074,10.959492200003297
16,6000,1.8842759123461312,10.121447500001524,11.269129899999824
17,6000,1.2626530728456211,8.481984900005045,9.250785399999586
18,6000,1.1703529406169435,8.194170399998256,9.151214399993478
19,6000,1.2555407083560506,9.45277250000072,10.32856670000183
20,6000,1.2544372191704765,9.1251323999968,10.303667799998948
21,6000,1.046671014229647,8.296404300002905,9.064331200002924
1,7000,1.9532333325413231,8.55925820000266,9.887339699998847
2,7000,1.3448716051863625,8.700992799997039,10.068639600001916
3,7000,1.0953447346237752,10.847506799997063,11.750918899997489
4,7000,1.0375480219658797,9.8728745000044,10.92688900000212
5,7000,1.134042282936305,9.496328999994148,10.54821439999796
6,7000,1.0252756381068793,9.226557499998307,10.02048300000024
7,7000,1.1727258182430151,10.36237980000442,11.497607199999038
8,7000,1.6022419801697352,10.223033399997805,11.784313299998756
9,7000,1.7877632305391564,8.26117019999947,9.475101399999405
10,7000,1.045691078343583,9.776965999997628,10.55709090000164
11,7000,1.6960766582814444,11.878020700001798,13.206788200004668
12,7000,1.9327430316254528,10.8868780000048,12.283857100002932
13,7000,1.0541300637087032,7.646301399996446,8.758946200003265
14,7000,1.9200165888725265,8.077936800000316,9.25767139999516
15,7000,1.205330816242558,8.096320699994976,9.436527799996838
16,7000,1.495516662338138,10.01559730000008,11.16010280000046
17,7000,1.5056514334708917,8.278665999998339,9.67195029999857
18,7000,1.5066918876338014,10.594396499996948,11.864534199994525
19,7000,1.0638209576092017,8.012987599999178,8.990743399997882
20,7000,1.0452914299402627,9.08163400000194,10.20056370000384
21,7000,1.2682342143837002,9.126277900002606,10.430166400001326
1,8000,1.0345788549011403,9.219496300000174,10.155777200001468
2,8000,1.0329388774470456,9.167082700005269,9.985220100003062
3,8000,1.0752790965825256,8.542056500002218,9.576747899998736
4,8000,1.763766338566242,10.991407399997115,12.397043199998734
5,8000,1.89682607441325,10.601800399999776,11.98739629999909
6,8000,1.06621895863085,8.10027270000137,9.205534400003671
