run,size,ratio,sampling_time_s,total_time_s
1,500,716.434223901393,6.344191499999852,6.661186299999827
2,500,65402.70852145474,6.184552100000019,6.636931500000173
3,500,14.20738464778198,7.704098300000169,8.34196460000021
4,500,4143.026418339764,7.868912800000089,8.182241500000146
5,500,254.3132432973212,7.315621600000213,7.528694799999812
6,500,2.8903401286345507,6.547028500000124,6.910403600000336
7,500,148.70469129920647,7.297749899999872,7.535645199999635
8,500,1650.5967547661674,6.087039099999856,6.386866199999986
9,500,176.8234792160902,8.483173700000407,8.793677600000137
10,500,3.732985531900508,6.184909600000083,6.854801800000132
11,500,865.7584096783387,8.206434300000183,8.459761800000251
12,500,476.9110826654905,6.506884700000228,6.794182699999965
13,500,1141.703617247931,6.617145499999879,6.850733199999922
14,500,1012.4656109441944,6.5127315999998245,6.755524100000002
15,500,5926.76189843266,7.090633599999819,7.479221999999936
16,500,516.0925847150808,6.8068349999998645,7.055597699999908
17,500,1724.7178524635056,7.330778399999872,7.53272300000026
18,500,25488.251260639918,7.404543499999818,7.900079200000164
19,500,426.4714274039228,6.6398747999996885,6.890870699999596
20,500,166.0680355829469,7.722692599999846,7.983496299999842
21,500,2227.375166144512,7.146308299999873,7.355755099999897
1,1000,1.5790762799586182,6.377173200000016,6.764096800000061
2,1000,2.058808388447661,7.163376299999982,7.74235439999984
3,1000,2.1654971937016967,6.358323400000245,6.848666200000025
4,1000,1.7891550750327971,6.441601399999854,6.954256099999839
5,1000,1.7978905519359272,7.213818799999899,7.534211499999856
6,1000,1.404594188063853,7.6703552999997555,8.09307869999975
7,1000,2.5466125544774894,6.797419999999875,7.361289099999794
8,1000,1.79799992842141,7.541867599999932,8.046457699999792
9,1000,1.9967288783536048,8.408788900000218,8.997743400000218
10,1000,1.9065210963466384,6.526288800000202,7.011550300000181
11,1000,1.8314243414187767,7.193555099999685,7.893462499999714
12,1000,1.6567157336680975,6.524339900000086,6.952730599999995
13,1000,1.750152824770754,6.610871000000316,7.103062399999999
14,1000,1.7383467494520906,6.742167700000209,7.161864700000024
15,1000,1.328026178232032,7.296995700000025,7.661890400000175
16,1000,2.0520486235475333,6.875233300000218,7.32060410000031
17,1000,1.3647600466232912,6.417525399999704,6.838417799999661
18,1000,1.6474319616011617,6.953512300000057,7.62086330000011
19,1000,1.4848415942133406,6.645218199999817,7.173296799999662
20,1000,1.672783382719608,6.657470399999966,7.036300299999766
21,1000,1.409505742118707,7.028088800000205,7.675838600000134
1,1500,1.3900240436814977,6.764710300000388,7.207693400000153
2,1500,1.3253146895655956,7.702132899999924,8.238850300000195
3,1500,1.486826086946342,6.529788300000291,6.995435700000144
4,1500,1.3748919507710875,7.618842099999711,8.243238699999893
5,1500,1.2353644161181652,6.800221899999997,7.297266500000205
6,1500,1.2796105416941188,7.835438000000067,8.463735199999974
7,1500,1.4517417061757656,6.664144700000179,7.07364060000009
8,1500,1.2833798250599184,6.466985600000044,7.024975399999676
9,1500,1.272442909264926,6.513474200000019,7.134172399999898
10,1500,1.3110099477112918,6.583593500000006,7.088826400000016
11,1500,1.3660384876403926,6.738193499999852,7.149048400000083
12,1500,1.308838129763198,6.309216699999979,6.977963799999998
13,1500,1.2813414814176336,6.402219499999774,6.981706000000031
14,1500,1.679992375998667,6.713688699999693,7.234908899999937
15,1500,1.3787903789894855,6.502776000000267,6.924074200000177
16,1500,1.47430070452437,6.740287599999647,7.161808800000017
17,1500,1.4170510308104902,7.1949555999999575,7.711231199999929
18,1500,1.232626656748966,7.353356699999949,8.029489799999737
19,1500,1.3866215652083445,6.76720239999986,7.417110400000183
20,1500,1.367900092944664,7.114196300000003,7.56447849999995
21,1500,1.376765394113139,7.753034099999695,8.220676699999785
1,2000,1.267107362683053,6.761051899999984,7.597024800000327
2,2000,1.516414785552345,7.519945000000007,8.155210800000077
3,2000,1.2271550286191508,6.701797799999895,7.363324899999952
4,2000,1.2005195986774615,7.139270099999976,7.716723399999864
5,2000,1.2419902928571367,7.904734600000211,8.42640160000019
6,2000,2.050478618468028,8.884349099999781,9.472174500000165
7,2000,1.2038198001830889,7.94790039999998,8.641039399999954
8,2000,1.3371392727176847,7.090813299999809,7.680280099999891
9,2000,1.1834344570871125,7.4113183999998,8.336372700000084
10,2000,1.2993896605783029,7.103832899999816,7.6436534999998
11,2000,1.274784548897825,6.709406700000272,7.44752920000019
12,2000,1.2468815244842952,7.303379899999982,7.889197999999851
13,2000,2.546842780790959,7.644042700000227,8.432751400000143
14,2000,12.72639071241108,6.600723200000175,7.336310100000446
15,2000,1.287750418369746,6.621938799999953,7.1969662999999855
16,2000,1.1868887672295882,7.089396599999873,7.857201400000122
17,2000,1.2007075861923422,7.384787999999844,8.000642900000003
18,2000,1.393215400229692,7.511061800000334,8.144777000000431
19,2000,1.2470749068936464,7.243231299999934,7.857161999999789
20,2000,1.3498236392948468,7.09791610000002,7.674922899999728
21,2000,1.178121924163713,7.382827599999928,7.997675799999797
1,2500,1.537891246772381,7.79137129999981,8.398750599999858
2,2500,1.1287952184077163,7.596761000000242,8.242557300000044
3,2500,1.1769244613505048,7.27166169999964,7.81074099999978
4,2500,1.1423912446377478,6.794516299999941,7.373852299999726
5,2500,1.194776816256531,7.393577199999981,8.245265800000197
6,2500,1.1257477217599736,7.196910799999841,7.853059200000189
7,2500,1.136616089651361,7.01428229999965,7.696157899999889
8,2500,1.2791917347274364,6.951241499999924,7.639114099999915
9,2500,1.244459827065793,7.305242899999939,8.162778500000059
10,2500,1.2862470204089536,7.381253800000195,8.10872160000008
11,2500,1.1400277295380896,7.258367200000066,8.122847999999976
12,2500,1.238206229967222,8.982117499999731,9.85901479999984
13,2500,1.1875655940333605,6.962836000000152,7.790685700000267
14,2500,1.174622941761188,8.45207530000016,9.225804200000312
15,2500,1.2656263171361568,6.8717578000000685,7.592209399999774
16,2500,1.1709363460382949,9.065211999999974,9.75344129999985
17,2500,1.1803790306989623,6.295415999999932,7.055410999999822
18,2500,1.1436451769889469,8.730214199999864,9.417571200000111
19,2500,1.1562632712655083,6.051457999999911,7.04499850000002
20,2500,1.184302120838153,6.830624300000181,7.394466799999918
21,2500,1.113952868419955,7.118764800000008,7.840411499999845
1,3000,1.4360615541560455,7.6249870999999985,8.691262499999993
2,3000,1.3736445840276288,7.0520333999998,8.039992299999994
3,3000,1.203896971267597,8.519948799999838,9.212121600000046
4,3000,1.1323380388049034,8.214931399999841,9.213735899999849
5,3000,1.2025756726443604,6.791153900000154,7.723846100000173
6,3000,2.058194133926873,6.756325700000161,7.960607500000151
7,3000,1.224836079024039,6.875385800000004,7.530586699999731
8,3000,1.9301543678997168,8.758326000000125,9.68905730000006
9,3000,1.1810973628627526,7.2753843000000415,7.988802699999724
10,3000,1.1886760041669089,8.528755100000126,9.47561739999992
11,3000,1.1736673994794933,7.29881370000021,8.22281350000003
12,3000,1.1191142537608,7.101383199999873,7.945600099999865
13,3000,3.817694794630992,7.060831100000087,8.176642899999933
14,3000,1.3775622218089931,6.840287900000021,7.792195199999696
15,3000,1.8361555000986527,7.879169199999978,8.497512500000084
16,3000,1.461524954038847,7.48898059999965,8.219392199999675
17,3000,1.618409598417059,7.305999300000167,8.262065700000221
18,3000,1.928831918145378,7.626007800000025,8.571266599999944
19,3000,1.2870104240381106,7.886732800000118,8.82543829999986
20,3000,1.270938692815533,7.047059999999874,7.938628599999902
21,3000,3.975234376638515,7.601091600000018,8.70632949999981
1,3500,1.1843761591192066,6.35256470000013,7.232093500000246
2,3500,1.2055752123416337,6.728943000000072,7.570173000000068
3,3500,1.1234398005574178,6.833304400000088,7.629535300000043
4,3500,1.1706318710371395,7.391407099999924,8.336528700000144
5,3500,1.267329996756538,7.779367699999966,8.459939100000156
6,3500,1.3494048547248925,7.521044699999948,8.251236299999618
7,3500,1.0965572236050851,8.855149499999698,9.971595199999683
8,3500,1.1702925109721176,7.0334343999998055,7.893809599999713
9,3500,1.3878497282120812,8.994136800000433,9.76980470000035
10,3500,1.088679749985333,7.18034519999992,8.097954699999718
11,3500,1.226720572264866,7.05286359999991,7.910673100000167
12,3500,5.0883051047311945,7.112992800000029,8.070567799999935
13,3500,1.326974235863772,6.844370799999979,7.988653100000192
14,3500,1.1196458091299906,6.900060200000098,7.837999200000013
15,3500,1.1232550570736002,8.615917900000113,9.633709300000191
16,3500,2.962053534249817,8.010503299999982,9.16208940000024
17,3500,1.1269679732353757,6.672735999999986,7.527810699999918
18,3500,1.1092880199549229,6.832439299999805,7.927030899999863
19,3500,1.6977868824901297,6.980266199999733,8.120496699999876
20,3500,1.276212808616695,6.646702700000333,7.785677900000337
21,3500,1.1784182381693489,6.810078399999838,7.688237599999866
1,4000,1.076652942485271,6.670806099999936,7.573377199999868
2,4000,1.6677260984647948,6.430725700000039,7.378438799999913
3,4000,1.2324085768880038,7.170585800000026,8.266804800000045
4,4000,2.0094198941591497,6.369006999999783,7.660347799999727
5,4000,1.131869725723294,6.654170099999647,7.624920899999779
6,4000,1.1360360850861535,8.716445900000053,10.075472600000012
7,4000,1.070118633267644,6.641698299999916,7.674784799999998
8,4000,1.0860078835879692,7.01470560000007,8.263005400000111
9,4000,1.0883088573287822,8.280934700000216,9.327644599999983
