run,size,ratio,sampling_time_s,total_time_s
1,500,3390.255587518675,8.59768990000157,9.070874100001674
2,500,116.52306786699464,7.367682799998874,8.476047199997993
3,500,9688.119280815734,7.497268600000098,7.848322699999699
4,500,1647.8151760060855,8.374738599999546,8.82708840000123
5,500,28957.17042325346,6.370098200000939,6.692648299998837
6,500,19.149674056581556,7.120025000000169,8.21393579999858
7,500,2169645.8980630403,6.805081500002416,7.381650600000285
8,500,471789.64235559374,6.660011200001463,7.115172600002552
9,500,5441.602059594549,6.833899799999927,7.2055131000015535
10,500,25.02714060096016,6.809267099997669,7.681329099999857
11,500,9566.90793355032,6.911138200001005,7.401411799997732
12,500,92131.92308054572,6.0219079999988026,6.595402899998589
13,500,6656.0834892374805,7.854421299998648,8.261321800000587
14,500,13.36691265056232,5.925743300002068,6.988689099998737
15,500,43532.0863396884,7.922903400001815,8.207108900001913
16,500,73798.89027460656,6.313621099998272,6.732353899998998
17,500,2100.1424781043165,6.442044200000964,6.79718850000063
18,500,7330173.014567617,6.490621600001759,7.271614000001136
19,500,2582.3694582140506,7.253702500001964,7.639546000002156
20,500,10602.160194254382,6.575665199998184,7.03291199999876
21,500,324205.7927602502,6.772350999999617,7.111970699999802
1,1000,7.743727484028063,7.234825800002,8.575214100001176
2,1000,1.5418108730813385,7.099935199999891,8.486460199997964
3,1000,1.989702081643118,6.819051599999511,7.884782199998881
4,1000,1.720318165545743,7.274221200001193,8.194217000000208
5,1000,1.8434592438951152,6.9360656999997445,7.893253899997944
6,1000,1.635319445845316,5.921411799998168,6.874297899998055
7,1000,2.285534883617112,6.083096099999239,7.082890199999383
8,1000,1.3154437308990947,6.5958936999995785,7.716850000000704
9,1000,4.488828248579381,6.757058200000756,8.143791099999362
10,1000,9.419670671559336,6.054135599999427,7.042159000000538
11,1000,3.360473943434312,6.545617100000527,7.736476400001266
12,1000,1.9814760108924847,6.470344599998498,7.565503499998158
13,1000,2.1776088320068565,7.481711399999767,8.195499399997061
14,1000,1.789876043950217,6.101629600001616,6.99589030000061
15,1000,22.61083739721392,7.874233399998047,8.90607159999854
16,1000,3.226429637771111,7.245092100001784,8.177158100002998
17,1000,1.740455894783942,6.593992699999944,7.795242099997267
18,1000,1.7082965495962932,7.062579600002209,8.056685400002607
19,1000,3.3652588932710783,6.646493399999599,7.57361039999887
20,1000,2.1272484408666563,8.009114399999817,9.162058800000525
